freq,imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.2 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.4 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.6 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.8 ))
183.1E3,-36.10E-15,-37.81E-15,-45.85E-15,-48.01E-15
184.1E3,-36.29E-15,-38.01E-15,-46.10E-15,-48.27E-15
185.1E3,-36.49E-15,-38.22E-15,-46.35E-15,-48.54E-15
186.1E3,-36.69E-15,-38.43E-15,-46.60E-15,-48.80E-15
187.1E3,-36.88E-15,-38.63E-15,-46.86E-15,-49.06E-15
188.1E3,-37.08E-15,-38.84E-15,-47.11E-15,-49.32E-15
189.1E3,-37.28E-15,-39.05E-15,-47.36E-15,-49.59E-15
190.1E3,-37.48E-15,-39.25E-15,-47.61E-15,-49.85E-15
191.1E3,-37.67E-15,-39.46E-15,-47.86E-15,-50.11E-15
192.1E3,-37.87E-15,-39.67E-15,-48.11E-15,-50.37E-15
193.1E3,-38.07E-15,-39.87E-15,-48.36E-15,-50.63E-15
194.1E3,-38.26E-15,-40.08E-15,-48.61E-15,-50.90E-15
195.1E3,-38.46E-15,-40.29E-15,-48.86E-15,-51.16E-15
196.1E3,-38.66E-15,-40.49E-15,-49.11E-15,-51.42E-15
197.1E3,-38.86E-15,-40.70E-15,-49.36E-15,-51.68E-15
198.1E3,-39.05E-15,-40.91E-15,-49.61E-15,-51.94E-15
199.1E3,-39.25E-15,-41.11E-15,-49.86E-15,-52.21E-15
200.1E3,-39.45E-15,-41.32E-15,-50.11E-15,-52.47E-15
201.1E3,-39.64E-15,-41.52E-15,-50.36E-15,-52.73E-15
202.1E3,-39.84E-15,-41.73E-15,-50.61E-15,-52.99E-15
203.1E3,-40.04E-15,-41.94E-15,-50.86E-15,-53.26E-15
204.1E3,-40.24E-15,-42.14E-15,-51.11E-15,-53.52E-15
205.1E3,-40.43E-15,-42.35E-15,-51.36E-15,-53.78E-15
206.1E3,-40.63E-15,-42.56E-15,-51.61E-15,-54.04E-15
207.1E3,-40.83E-15,-42.76E-15,-51.86E-15,-54.30E-15
208.1E3,-41.02E-15,-42.97E-15,-52.11E-15,-54.57E-15
209.1E3,-41.22E-15,-43.18E-15,-52.36E-15,-54.83E-15
210.1E3,-41.42E-15,-43.38E-15,-52.61E-15,-55.09E-15
211.1E3,-41.62E-15,-43.59E-15,-52.87E-15,-55.35E-15
212.1E3,-41.81E-15,-43.80E-15,-53.12E-15,-55.62E-15
213.1E3,-42.01E-15,-44.00E-15,-53.37E-15,-55.88E-15
214.1E3,-42.21E-15,-44.21E-15,-53.62E-15,-56.14E-15
215.1E3,-42.40E-15,-44.42E-15,-53.87E-15,-56.40E-15
216.1E3,-42.60E-15,-44.62E-15,-54.12E-15,-56.66E-15
217.1E3,-42.80E-15,-44.83E-15,-54.37E-15,-56.93E-15
218.1E3,-43.00E-15,-45.04E-15,-54.62E-15,-57.19E-15
219.1E3,-43.19E-15,-45.24E-15,-54.87E-15,-57.45E-15
220.1E3,-43.39E-15,-45.45E-15,-55.12E-15,-57.71E-15
221.1E3,-43.59E-15,-45.65E-15,-55.37E-15,-57.98E-15
222.1E3,-43.78E-15,-45.86E-15,-55.62E-15,-58.24E-15
223.1E3,-43.98E-15,-46.07E-15,-55.87E-15,-58.50E-15
224.1E3,-44.18E-15,-46.27E-15,-56.12E-15,-58.76E-15
225.1E3,-44.38E-15,-46.48E-15,-56.37E-15,-59.02E-15
226.1E3,-44.57E-15,-46.69E-15,-56.62E-15,-59.29E-15
227.1E3,-44.77E-15,-46.89E-15,-56.87E-15,-59.55E-15
228.1E3,-44.97E-15,-47.10E-15,-57.12E-15,-59.81E-15
229.1E3,-45.16E-15,-47.31E-15,-57.37E-15,-60.07E-15
230.1E3,-45.36E-15,-47.51E-15,-57.62E-15,-60.34E-15
231.1E3,-45.56E-15,-47.72E-15,-57.87E-15,-60.60E-15
232.1E3,-45.76E-15,-47.93E-15,-58.12E-15,-60.86E-15
233.1E3,-45.95E-15,-48.13E-15,-58.37E-15,-61.12E-15
234.1E3,-46.15E-15,-48.34E-15,-58.63E-15,-61.38E-15
235.1E3,-46.35E-15,-48.55E-15,-58.88E-15,-61.65E-15
236.1E3,-46.54E-15,-48.75E-15,-59.13E-15,-61.91E-15
237.1E3,-46.74E-15,-48.96E-15,-59.38E-15,-62.17E-15
238.1E3,-46.94E-15,-49.17E-15,-59.63E-15,-62.43E-15
239.1E3,-47.14E-15,-49.37E-15,-59.88E-15,-62.70E-15
