freq,imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))*1m)
156.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
157.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
158.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
159.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
160.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
161.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
162.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
163.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
164.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
165.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
166.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
167.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
168.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
169.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
170.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
171.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
172.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
173.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
174.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
175.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
